numCities = 20;
numLocations = 100;
numTypes = 10;
cityCoordinates = [
[0.05 0.27]
[0.08 0.99]
[0.08 0.15]
[0.45 0.28]
[0.89 0.50]
[0.27 0.02]
[0.22 0.97]
[0.26 0.42]
[0.27 0.36]
[0.26 0.42]
[0.46 0.30]
[0.29 0.45]
[0.82 0.08]
[0.39 0.97]
[0.97 0.37]
[0.65 0.48]
[0.47 0.02]
[0.16 0.73]
[0.01 0.55]
[0.05 0.61]
];
locationCoordinates = [
[0.63 0.90]
[0.87 0.32]
[0.74 0.85]
[0.21 0.13]
[0.55 0.01]
[0.31 0.47]
[0.92 0.01]
[0.08 0.60]
[0.56 0.74]
[0.12 0.48]
[0.95 0.53]
[0.55 0.76]
[0.49 0.42]
[0.97 0.71]
[0.33 0.50]
[0.40 0.02]
[0.34 0.95]
[0.80 0.28]
[0.41 0.08]
[0.09 0.02]
[0.49 0.96]
[0.96 0.41]
[0.01 0.41]
[0.15 0.05]
[0.52 0.57]
[0.11 0.26]
[0.03 0.48]
[0.90 0.66]
[0.37 0.52]
[0.02 0.87]
[0.89 0.70]
[0.65 0.42]
[0.70 0.24]
[0.32 0.46]
[0.47 0.11]
[0.07 0.41]
[0.82 0.96]
[0.36 0.03]
[0.08 0.83]
[0.40 0.51]
[0.77 0.60]
[0.08 0.51]
[0.16 0.80]
[0.32 0.98]
[0.85 0.53]
[0.23 0.34]
[0.76 0.74]
[0.98 0.88]
[0.34 0.47]
[0.58 0.30]
[0.72 0.81]
[0.77 0.64]
[0.67 0.54]
[0.37 0.13]
[0.64 0.75]
[0.35 0.77]
[0.28 0.41]
[0.21 0.43]
[0.41 0.44]
[0.98 0.53]
[0.87 0.26]
[0.01 0.21]
[0.09 0.63]
[0.09 0.99]
[0.29 0.42]
[0.23 0.67]
[0.31 0.01]
[0.55 1.00]
[0.13 0.99]
[0.74 0.92]
[0.69 0.77]
[0.18 0.10]
[0.53 0.97]
[0.42 0.39]
[0.91 0.94]
[0.20 0.39]
[0.60 0.78]
[0.41 0.21]
[0.19 0.68]
[0.11 0.50]
[0.17 0.49]
[0.50 0.34]
[0.34 0.49]
[0.48 0.05]
[0.97 0.47]
[0.23 0.22]
[0.32 0.66]
[0.63 0.41]
[0.80 0.85]
[0.79 0.05]
[0.44 0.71]
[0.49 0.98]
[0.19 0.04]
[0.72 0.90]
[0.40 0.38]
[0.87 0.83]
[0.17 0.57]
[0.06 0.36]
[0.41 0.52]
[0.99 0.54]
];
cityPopulation = [91 8 14 14 83 69 6 16 94 39 78 80 82 35 3 16 52 35 5 39 ];
d_center = 0.23;
typeCapacity = [81 22 14 8 49 73 88 95 57 53 ];
typeDistance = [0.28 0.84 0.65 0.32 0.91 0.28 1.00 0.83 0.70 0.72 ];
typeCost = [7 4 3 4 10 1 8 5 8 8 ];
