numCities = 30;
numLocations = 60;
numTypes = 8;
cityCoordinates = [
[0.87 0.49]
[0.21 0.59]
[0.51 0.01]
[0.03 1.00]
[0.06 0.60]
[0.09 0.53]
[0.82 0.76]
[0.16 0.89]
[0.79 0.22]
[0.07 0.79]
[0.05 0.43]
[0.51 0.34]
[0.26 0.02]
[0.76 0.36]
[0.07 0.04]
[0.52 0.18]
[0.77 0.94]
[0.95 0.74]
[0.73 0.29]
[0.89 0.98]
[0.51 0.79]
[0.55 0.98]
[0.87 0.32]
[0.54 0.72]
[0.51 0.66]
[0.09 0.61]
[0.95 0.56]
[0.58 0.60]
[0.96 0.21]
[0.25 0.33]
];
locationCoordinates = [
[0.52 0.04]
[0.98 0.77]
[0.51 0.29]
[0.58 0.93]
[0.91 0.24]
[0.03 0.47]
[0.45 0.42]
[0.74 0.58]
[0.30 0.32]
[0.98 0.28]
[0.89 0.80]
[0.36 0.06]
[0.66 0.84]
[0.05 0.94]
[0.27 0.63]
[0.66 0.29]
[0.06 0.79]
[0.08 0.64]
[0.56 0.57]
[0.80 0.66]
[0.13 0.47]
[0.89 0.83]
[0.41 0.58]
[0.90 0.63]
[0.91 0.71]
[0.52 0.87]
[0.94 0.80]
[0.64 0.88]
[0.82 0.60]
[0.23 0.69]
[0.98 0.09]
[0.88 0.89]
[0.52 0.04]
[0.61 0.96]
[0.62 0.09]
[0.56 0.41]
[0.25 0.75]
[0.33 0.45]
[0.08 0.66]
[0.37 0.23]
[0.10 0.99]
[0.80 0.89]
[0.77 0.04]
[0.64 0.44]
[0.13 0.59]
[0.68 0.86]
[0.75 0.11]
[0.15 0.56]
[0.52 0.27]
[0.36 0.76]
[0.18 0.14]
[0.89 0.92]
[0.36 0.42]
[0.08 0.22]
[0.45 0.44]
[0.43 0.45]
[0.34 0.55]
[0.59 0.23]
[0.67 0.11]
[0.70 0.22]
];
cityPopulation = [38 24 45 31 26 37 56 65 2 18 83 53 19 69 81 81 75 34 1 67 69 37 47 92 90 30 18 35 84 17 ];
d_center = 0.03;
typeCapacity = [75 41 59 58 19 48 14 85 ];
typeDistance = [0.90 0.13 0.04 0.50 0.14 0.43 0.00 0.56 ];
typeCost = [17 23 39 84 93 28 84 37 ];
