numCities = 15;
numLocations = 7;
numTypes = 4;
cityCoordinates = [
[0.39 0.84]
[0.80 0.78]
[0.20 0.91]
[0.77 0.34]
[0.55 0.28]
[0.63 0.48]
[0.51 0.36]
[0.92 0.95]
[0.72 0.64]
[0.61 0.14]
[0.24 0.02]
[0.80 0.14]
[0.40 0.16]
[0.11 0.13]
[0.22 1.00]
];
locationCoordinates = [
[0.84 0.51]
[0.30 0.61]
[0.52 0.64]
[0.97 0.49]
[0.77 0.29]
[0.77 0.53]
[0.89 0.40]
];
cityPopulation = [84 37 98 24 15 70 13 26 91 80 56 73 62 70 96 ];
d_center = 0.02;
typeCapacity = [5 25 84 27 ];
typeDistance = [0.27 0.54 0.38 0.76 ];
typeCost = [4 8 5 6 ];
