numCities = 20;
numTypes = 3;
numLocations = 100;
cityCoordinates = [
[0.42 0.72]
[0.00 0.30]
[0.15 0.09]
[0.19 0.35]
[0.40 0.54]
[0.42 0.69]
[0.20 0.88]
[0.03 0.67]
[0.42 0.56]
[0.14 0.20]
[0.80 0.97]
[0.31 0.69]
[0.88 0.89]
[0.09 0.04]
[0.17 0.88]
[0.10 0.42]
[0.96 0.53]
[0.69 0.32]
[0.69 0.83]
[0.02 0.75]
];
locationCoordinates = [
[0.99 0.75]
[0.28 0.79]
[0.10 0.45]
[0.91 0.29]
[0.29 0.13]
[0.02 0.68]
[0.21 0.27]
[0.49 0.05]
[0.57 0.15]
[0.59 0.70]
[0.10 0.41]
[0.69 0.41]
[0.05 0.54]
[0.66 0.51]
[0.94 0.59]
[0.90 0.14]
[0.14 0.81]
[0.40 0.17]
[0.93 0.35]
[0.75 0.73]
[0.88 0.62]
[0.75 0.35]
[0.27 0.90]
[0.43 0.96]
[0.66 0.62]
[0.11 0.95]
[0.45 0.58]
[0.41 0.24]
[0.90 0.57]
[0.00 0.62]
[0.33 0.53]
[0.89 0.36]
[0.91 0.62]
[0.02 0.93]
[0.69 1.00]
[0.17 0.14]
[0.93 0.70]
[0.07 0.76]
[0.75 0.92]
[0.71 0.12]
[0.02 0.03]
[0.03 0.25]
[0.86 0.54]
[0.55 0.84]
[0.12 0.28]
[0.59 0.97]
[0.56 0.02]
[0.80 0.23]
[0.81 0.39]
[0.86 0.75]
[0.56 0.14]
[0.06 0.12]
[0.04 0.11]
[0.23 0.71]
[0.56 0.01]
[0.07 0.97]
[0.57 0.20]
[0.25 0.74]
[0.20 0.58]
[0.97 0.85]
[0.24 0.49]
[0.62 0.83]
[0.16 0.02]
[0.07 0.49]
[0.61 0.57]
[0.32 0.99]
[0.58 0.38]
[0.55 0.75]
[0.67 0.26]
[0.07 0.37]
[0.63 0.21]
[0.75 0.07]
[0.26 0.80]
[0.19 0.64]
[0.52 0.92]
[0.26 0.07]
[0.74 0.77]
[0.91 0.93]
[0.01 0.23]
[0.62 0.95]
[0.95 0.56]
[0.92 0.64]
[0.39 0.49]
[0.60 0.55]
[0.93 0.92]
[0.39 0.96]
[0.17 0.13]
[0.14 0.51]
[0.02 0.95]
[0.83 0.02]
[0.18 0.33]
[0.13 0.81]
[0.34 0.94]
[0.58 0.88]
[0.84 0.91]
[0.46 0.55]
[0.80 0.29]
[0.49 0.60]
[0.02 0.59]
[0.43 0.81]
];
d_center = 0.05;
cityPopulation = [
15 19 19 19 18 16 14 12 20 19 14 10 10 13 20 14 19 13 19 11
];
typeCapacity = [100 200 400];
typeDistance = [0.1 0.2 0.4];
typeCost = [1 2 4];
