numCities = 50;
numLocations = 80;
numTypes = 3;
cityCoordinates = [
[0.39 0.84]
[0.80 0.78]
[0.20 0.91]
[0.77 0.34]
[0.55 0.28]
[0.63 0.48]
[0.51 0.36]
[0.92 0.95]
[0.72 0.64]
[0.61 0.14]
[0.24 0.02]
[0.80 0.14]
[0.40 0.16]
[0.11 0.13]
[0.22 1.00]
[0.84 0.51]
[0.30 0.61]
[0.52 0.64]
[0.97 0.49]
[0.77 0.29]
[0.77 0.53]
[0.89 0.40]
[0.35 0.28]
[0.92 0.81]
[0.95 0.07]
[0.09 0.53]
[0.66 0.19]
[0.35 0.89]
[0.02 0.06]
[0.06 0.46]
[0.97 0.24]
[0.85 0.90]
[0.54 0.27]
[0.76 0.38]
[0.67 0.51]
[0.04 0.53]
[0.93 0.44]
[0.72 0.93]
[0.74 0.28]
[0.35 0.64]
[0.17 0.69]
[0.88 0.44]
[0.33 0.83]
[0.89 0.23]
[0.69 0.35]
[0.59 0.96]
[0.86 0.66]
[0.92 0.44]
[0.81 0.40]
[0.91 0.68]
];
locationCoordinates = [
[0.22 0.48]
[0.92 0.95]
[0.88 0.15]
[0.43 0.64]
[0.28 0.62]
[0.31 0.79]
[0.23 0.45]
[0.28 0.19]
[0.42 0.56]
[0.91 0.17]
[0.13 0.10]
[0.76 0.50]
[0.94 0.98]
[0.38 0.68]
[0.37 0.75]
[0.23 0.29]
[0.24 0.58]
[0.73 0.15]
[0.79 0.13]
[0.75 0.16]
[0.95 0.07]
[0.52 0.05]
[0.24 0.18]
[0.73 0.80]
[0.97 0.66]
[0.76 0.64]
[0.13 0.09]
[0.08 0.52]
[0.20 0.07]
[0.82 0.46]
[0.76 0.57]
[0.16 0.05]
[0.20 1.00]
[0.13 0.89]
[0.05 1.00]
[0.07 0.87]
[0.92 0.00]
[0.18 0.59]
[0.39 0.16]
[0.82 0.91]
[0.55 0.36]
[0.45 0.58]
[0.10 0.69]
[0.76 0.53]
[0.99 0.30]
[0.88 0.58]
[0.63 0.75]
[0.75 0.04]
[0.93 0.83]
[0.83 0.87]
[0.74 0.98]
[0.98 0.90]
[0.50 0.67]
[0.83 0.16]
[0.08 0.89]
[0.25 0.65]
[0.23 0.63]
[0.32 0.70]
[0.23 0.33]
[0.63 0.07]
[0.65 0.22]
[0.97 0.51]
[0.55 0.28]
[0.11 0.72]
[0.59 0.47]
[0.45 0.94]
[0.85 0.34]
[0.00 0.43]
[0.60 0.34]
[0.23 0.83]
[0.48 0.68]
[0.30 0.48]
[0.18 0.71]
[0.04 0.62]
[0.70 0.41]
[0.64 0.67]
[0.18 0.35]
[0.63 0.61]
[0.33 0.73]
[0.20 0.74]
];
cityPopulation = [22 65 8 16 82 58 24 37 62 24 0 36 52 99 79 50 68 71 73 31 81 30 33 94 60 63 99 81 99 96 59 73 13 68 90 95 26 66 84 40 90 84 76 42 36 7 45 56 79 18 ];
d_center = 0.12;
typeCapacity = [12 48 72 ];
typeDistance = [0.18 0.68 0.73 ];
typeCost = [1 3 8 ];
