MILESTONE | COST 81 TIME 0
MILESTONE | COST 78 TIME 0
MILESTONE | COST 76 TIME 1
MILESTONE | COST 74 TIME 1
MILESTONE | COST 72 TIME 1
MILESTONE | COST 70 TIME 1
MILESTONE | COST 68 TIME 2
MILESTONE | COST 66 TIME 2
MILESTONE | COST 64 TIME 2
MILESTONE | COST 62 TIME 3
MILESTONE | COST 60 TIME 3
MILESTONE | COST 58 TIME 3
MILESTONE | COST 57 TIME 3
MILESTONE | COST 54 TIME 4
MILESTONE | COST 53 TIME 4
MILESTONE | COST 52 TIME 4
MILESTONE | COST 51 TIME 4
MILESTONE | COST 50 TIME 5
MILESTONE | COST 50 TIME 5
MILESTONE | COST 50 TIME 5
MILESTONE | COST 48 TIME 5
MILESTONE | COST 48 TIME 6
MILESTONE | COST 48 TIME 6
MILESTONE | COST 48 TIME 6
MILESTONE | COST 48 TIME 7
MILESTONE | COST 48 TIME 7
MILESTONE | COST 47 TIME 7
MILESTONE | COST 47 TIME 7
MILESTONE | COST 46 TIME 8
MILESTONE | COST 45 TIME 8
MILESTONE | COST 44 TIME 8
MILESTONE | COST 44 TIME 8
MILESTONE | COST 43 TIME 9
MILESTONE | COST 43 TIME 9
MILESTONE | COST 43 TIME 9
MILESTONE | COST 41 TIME 9
MILESTONE | COST 41 TIME 10
MILESTONE | COST 41 TIME 10
MILESTONE | COST 41 TIME 10
MILESTONE | COST 41 TIME 10
MILESTONE | COST 39 TIME 11
MILESTONE | COST 39 TIME 11
MILESTONE | COST 37 TIME 11
MILESTONE | COST 37 TIME 11
MILESTONE | COST 37 TIME 12
MILESTONE | COST 37 TIME 12
MILESTONE | COST 37 TIME 12
MILESTONE | COST 37 TIME 12
MILESTONE | COST 37 TIME 13
MILESTONE | COST 37 TIME 13
MILESTONE | COST 37 TIME 13
MILESTONE | COST 37 TIME 13
MILESTONE | COST 37 TIME 14
MILESTONE | COST 35 TIME 14
MILESTONE | COST 35 TIME 14
MILESTONE | COST 35 TIME 371
