MILESTONE | COST 23 TIME 12
MILESTONE | COST 22 TIME 52
MILESTONE | COST 21 TIME 77
MILESTONE | COST 20 TIME 119
MILESTONE | COST 20 TIME 178
MILESTONE | COST 20 TIME 186
MILESTONE | COST 20 TIME 194
MILESTONE | COST 19 TIME 203
MILESTONE | COST 18 TIME 211
MILESTONE | COST 18 TIME 262
MILESTONE | COST 18 TIME 287
MILESTONE | COST 18 TIME 295
MILESTONE | COST 18 TIME 352
MILESTONE | COST 18 TIME 369
MILESTONE | COST 18 TIME 385
MILESTONE | COST 18 TIME 393
MILESTONE | COST 18 TIME 427
MILESTONE | COST 18 TIME 477
MILESTONE | COST 18 TIME 518
MILESTONE | COST 18 TIME 576
